Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mozambique,MOZ,5600,6698,19596,19763.5996807786,18924,15911,11955,10479,12178,6779,7583,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Myanmar,MMR,13800,10329,38028,49599,51652,65643,62480,64397.9644896858,64320,30407.914,20653.338,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Namibia,NAM,..,5161,8568,9197,10606,11759,13876,14543,1806,593.365,32.358,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Nauru,NRU,..,..,96,612,707,862,842,1023,1351,335,255,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Nepal,NPL,25800,12130,30612,19560,19395,24063,58880,97598,27035,35894,28642,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Netherlands,NLD,115000,229386,312910,304795,309089,334240,342097,330963.296,361156,170981.388,206208.068,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,New Zealand,NZL,128300,240046,203520,189722,186209,181125,184762,187851,192514,123038.32,135902.983,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Nicaragua,NIC,3900,452,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Niger,NER,500,1518,1044,407,469,471,471,..,..,..,447,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Nigeria,NGA,17400,12761,59182,61512.4529493388,61474,53971,53696,75594.726523888,68734,51519.349,74453.146,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,North Macedonia,MKD,..,8047,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Norway,NOR,233500,320753,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Oman,OMN,12300,22322,46816,47126,56544,61956,71293,76672,79436,19013,18219,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Pakistan,PAK,66100,63956,61820,57956,65749,70005,51019,48542,49749,27903.88,36260.96,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Panama,PAN,5400,25225,135428,132689.724774874,137955,143126,112742,111583,110042,32578,71789,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Papua New Guinea,PNG,62400,27512,30012,34068,51680,48892,53696,41173,54328,36664,34007,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Paraguay,PRY,6100,7556,6408,5496,4116,3864,3454,10160,8090,1747,1917,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Peru,PER,22100,29387,115817.396352206,117800,129786,129880,130792,141025.363,141311,42395.999,70558,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Philippines,PHL,70100,44547,200532,287460,325859,345482,273159,292450,320569,88024,71556,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Poland,POL,28600,52371,83336,77094,68326,84075,106424,123903,131419,48381,60781,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Portugal,PRT,45000,112462,158096,157702,160003,154448,170444,182753,186711,73742.363,97777,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Qatar,QAT,10900,26652,139869,151703,170582,200927,194389,197811,207143,127046,156726,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Romania,ROU,22000,23298,43956,42249.8,45596,46733,52063,55637,58509,22125,30789,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Russian Federation,RUS,..,314621,678071,747804,767043,746446,815708,885094,940499,623201,825994,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Rwanda,RWA,500,..,11532,12096,3205,4314,18134,19133,19419,8494.839,9412.931,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Samoa,WSM,..,10877,..,9144,11759,13805,6098,6848,6220,1352,993,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Sao Tome and Principe,STP,700,1135,..,..,..,..,..,466,468,366,524,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Saudi Arabia,SAU,92700,108981,216636,232908,236468,256635,270924,267295,317209,144771,219247,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Senegal,SEN,3500,2415,5808,4044,3656,582,1087,5817,10215,4377,6285.619,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Serbia,SRB,..,..,18156,28944,31304,31958,29705,28160,30964,12773,17412,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Seychelles,SYC,15800,18966,14592,14556,17124,19178,20539,18671,18704,8477,8802,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Sierra Leone,SLE,500,202,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Singapore,SGP,30500,71042,165239.07,183398.557600256,181563,207203,203615,208787,215014,64267,56482,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Slovak Republic,SVK,..,2421,1824,721.068,70,85,51,..,..,30,72,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Slovenia,SVN,..,12082,17212,16557,17931,17825,18488,18444,16717,3289,854,..
